HCPCS_Cd,HCPCS_Desc,Brnd_Name,Gnrc_Name,year,Tot_Spndng,Tot_Dsg_Unts,Tot_Benes,Avg_Spndng_Per_Dsg_Unt,Avg_Spndng_Per_Clm,Avg_Spndng_Per_Bene,Tot_Clms,Outlier_Flag
J0744_2019,"Injection, ciprofloxacin for intravenous infusion, 200 mg",Cipro I.V.*,Ciprofloxacin In 5 % Dextrose*,2019,5134.21,2373.5,533.0,2.1631388245,4.9367403846,9.6326641651,1040.0,0.0
J0770_2019,"Injection, colistimethate sodium, up to 150 mg",Colistimethate*,Colistin (Colistimethate Na)*,2019,2304.06,125.0,11.0,18.43248,56.196585366,209.46,41.0,1.0
J0775_2019,"Injection, collagenase, clostridium histolyticum, 0.01 mg",Xiaflex,Collagenase Clostridium Hist.,2019,60518539.32,1342850.0,8537.0,45.067237085,4291.7906049,7088.9702846,14101.0,0.0
J0780_2019,"Injection, prochlorperazine, up to 10 mg",Prochlorperazine Edisylate,Prochlorperazine Edisylate,2019,51204.28,5113.0,2351.0,10.014527675,10.284049006,21.779787325,4979.0,0.0
J0791_2019,"Injection, crizanlizumab-tmca, 5 mg",Adakveo,Crizanlizumab-Tmca,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0834_2019,"Injection, cosyntropin, 0.25 mg",Cortrosyn*,Cosyntropin*,2019,170134.31,4143.5,3862.0,41.060530952,41.395209246,44.053420508,4110.0,0.0
J0840_2019,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram",Crofab,"Antivenin,crotalidae Fab(Ovin)",2019,1447723.28,494.0,98.0,2930.6139271,14055.565825,14772.686531,103.0,0.0
J0841_2019,"Injection, crotalidae immune f(ab')2 (equine), 120 mg",Anavip,"Antivenin,crotalidae (Equine)",2019,\N,\N,\N,\N,\N,\N,\N,\N
J0850_2019,"Injection, cytomegalovirus immune globulin intravenous (human), per vial",Cytogam,Cytomegalovirus Immune Globuln,2019,2151924.61,2385.0,179.0,902.2744696,3310.6532462,12021.925196,650.0,0.0
J0875_2019,"Injection, dalbavancin, 5 mg",Dalvance,Dalbavancin HCL,2019,27679564.77,2100586.0,5013.0,13.177068099,3135.7839323,5521.556906,8827.0,0.0
J0877_2019,"Injection, daptomycin (hospira), not therapeutically equivalent to j0878, 1 mg",Daptomycin,Daptomycin,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0878_2019,"Injection, daptomycin, 1 mg",Cubicin*,Daptomycin*,2019,48215227.08,144903594.1,13863.0,0.3327400357,346.61030933,3477.9793032,139105.0,0.0
J0881_2019,"Injection, darbepoetin alfa, 1 microgram (non-esrd use)",Aranesp (J0881),Darbepoetin Alfa In Polysorbat,2019,231126510.55,65438817.0,47944.0,3.5319481792,838.39301849,4820.7598563,275678.0,0.0
J0882_2019,"Injection, darbepoetin alfa, 1 microgram (for esrd on dialysis)",Aranesp (J0882),Darbepoetin Alfa In Polysorbat,2019,381477.11,105822.0,475.0,3.6048941619,422.92362528,803.10970526,902.0,0.0
J0885_2019,"Injection, epoetin alfa, (for non-esrd use), 1000 units",Epogen (J0885)*,Epoetin Alfa*,2019,172129463.92,15776345.1,57706.0,10.910604632,400.76802023,2982.8694403,429499.0,0.0
J0887_2019,"Injection, epoetin beta, 1 microgram, (for esrd on dialysis)",Mircera (J0887),Methoxy Peg-Epoetin Beta,2019,146.55,102.1,\N,1.4353574927,6.9785714286,\N,21.0,1.0
J0888_2019,"Injection, epoetin beta, 1 microgram, (for non esrd use)",Mircera (J0888),Methoxy Peg-Epoetin Beta,2019,26857.52,15720.0,42.0,1.7084936387,145.17578378,639.4647619,185.0,0.0
J0893_2019,"Injection, decitabine (sun pharma) not therapeutically equivalent to j0894, 1 mg",Decitabine,Decitabine,2019,\N,\N,\N,\N,\N,\N,\N,\N
J0894_2019,"Injection, decitabine, 1 mg",Dacogen*,Decitabine*,2019,38195398.01,4671105.0,5088.0,8.1769512803,484.91624678,7506.9571561,78767.0,0.0
J0895_2019,"Injection, deferoxamine mesylate, 500 mg",Deferoxamine Mesylate*,Deferoxamine Mesylate*,2019,776931.83,91629.0,325.0,8.4791041046,114.9817715,2390.5594769,6757.0,0.0
